 ,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,MT,M
B:AA,0.04484900574286049,0.0,0.06808833624476082,0.07110208227526663,0.09116581742280067,0.03199035601270238,0.030360700751762205,0.0623789618203026,0.040049336138721615,0.026671652369976394,0.025376857779092415,0.03369814542998901,0.0688696778082253,0.04683584571852728,0.01881358864599088,0.05815971737759447,0.034808766652342074,0.06482344471171286,0.06326634259595154,0.018601510221621955,0.053248427550103526,0.012244738501721742,0.023406760836928435,0.01118992739104471,0.0,0.0
B:AG,0.039988830756569275,0.0,0.07033684086767386,0.0594076381948935,0.07625947916054318,0.026718005996120158,0.03129837556091157,0.06444359532067485,0.03977328395352027,0.02852565986714479,0.02656124468481179,0.03556522250308624,0.07208570924695785,0.04748887974447906,0.01279074324456724,0.054788078302275,0.028070072306154843,0.07234534516881233,0.07194364430858464,0.015671232339858523,0.0687251386357847,0.014240785374169654,0.024797679932592635,0.018174514529814043,0.0,0.0
B:CC,0.03668313420232745,0.0,0.06929467830070561,0.05416816298007396,0.06713028117750969,0.023250283895138356,0.03165066824547952,0.0634323650163543,0.03976473100329027,0.030345235899874794,0.026928788422901844,0.03576593452456057,0.07526860847706031,0.046146305480874686,0.00958934689559453,0.05309567023517194,0.024051013772553892,0.07590433947064476,0.0789616717298677,0.014515048868787064,0.08268870534111093,0.016189302248837727,0.023245430986790383,0.021930292824489717,0.0,0.0
B:GA,0.041679738789928075,0.0,0.06989809553688663,0.06020729482576312,0.07824101509394499,0.026481216811331497,0.03127432867384762,0.06477963305097548,0.040041366007831654,0.027364311360546588,0.026365020160118987,0.03564332275943807,0.07192572710054496,0.04721069938764365,0.014210850443290225,0.0539384854928481,0.028706382682051102,0.07054879678367669,0.07221621872857624,0.01690080291885988,0.06901500098767153,0.01405979479671396,0.021676485283694123,0.017615412323816828,0.0,0.0
N:AA,0.02494957047960213,0.02722324626995444,0.09116440023649706,0.07168817166904323,0.025184328591799116,0.031687997774145306,0.02861875282579209,0.027684067749452233,0.09631603658748653,0.01842416443501548,0.05426825026953709,0.05079035231106319,0.047477654505616806,0.05485949292247765,0.017893784996348208,0.05049473098459291,0.05666365248843599,0.07380534205126421,0.06292386881368901,0.00908600841651306,0.024662643898028032,0.012242200813828123,0.013524675686015373,0.028366605223802733,0.0,0.0
N:AG,0.0295990891392288,0.020459394028887964,0.09585022091482441,0.06538845647181345,0.021916615825817307,0.029968251994450898,0.022550021566882593,0.025145819327812728,0.10015971150894346,0.020898503530362673,0.04670493007278337,0.04606763840692627,0.04220114323907375,0.04766475349636083,0.014929723050140087,0.05772929870715282,0.06816300677316692,0.08653177326406025,0.05886787467115361,0.006885858731090119,0.027547320849152287,0.010954421988116842,0.01004122966204112,0.04377494277975744,0.0,0.0
N:CC,0.03045153790418256,0.015916492161187328,0.09585327207726545,0.058518388763704986,0.020331547140366103,0.03490640401933229,0.01978215346396694,0.024320622964655675,0.100718192892916,0.020156378142093905,0.043660872819345026,0.05319962099798556,0.04132395913785004,0.04011768171793014,0.013981670952998973,0.055982419402355224,0.06661597382019699,0.09850469373293097,0.05771022270349462,0.007050552180455917,0.03224303902287548,0.010788817848128478,0.008105547283686192,0.04975993885009515,0.0,0.0
N:GA,0.028822623039970997,0.02149460708782743,0.09557237378772773,0.06475573280159522,0.023121544457536482,0.03232121816369075,0.02370162240551074,0.02526511374966011,0.09927943442400072,0.020919060998821716,0.048132874104957854,0.04675518897851899,0.043428804495604094,0.0481464696818635,0.015163600108764615,0.05668902383757817,0.06496419831414846,0.08240732348409317,0.05920420556512281,0.007146741593401613,0.02884528233481374,0.011216350947158525,0.010400616332819723,0.04224598930481283,0.0,0.0
Q:AC,0.03676155033595736,0.0028937891122911077,0.1000666149973418,0.07423228617546647,0.05670221334733956,0.03888049974058583,0.045019568155469154,0.04884412571018633,0.0491639897899706,0.03284311527597184,0.04018517688203381,0.039223783155373074,0.05742941372397051,0.05268709846849559,0.018286297166941027,0.03202664119497057,0.035610600111452013,0.04532061670114847,0.05826210119074308,0.01564791892186189,0.06448904215320168,0.02321296462359324,0.010475448530306622,0.021735144535328366,0.0,0.0
Q:AT,0.03910015428572282,0.003864610917693869,0.09925627709895046,0.08506662066472802,0.06115980147475046,0.04730881191032012,0.05081347259374762,0.05287795894775046,0.049181747984054655,0.03529229900662697,0.03846015978205835,0.041905077688014256,0.05373788155098225,0.05611377713255578,0.022582769884263304,0.03328718203773653,0.036155955533450725,0.0348733527796074,0.049363590062983825,0.018400028676533186,0.04626555365872237,0.019584802632266776,0.00966936853377782,0.015678745162701988,0.0,0.0
Q:CA,0.036938154650169586,0.002774760855974373,0.10114672625978516,0.07289744093728126,0.05678297522437893,0.03743673713415703,0.04382440479193464,0.04826388762763396,0.04850322336401109,0.0325518126890453,0.04056747458285422,0.03881005877380728,0.05900049683354381,0.05249753365801735,0.017446485457629706,0.03174608940340018,0.036095703620830845,0.046303998359763184,0.05979922435848538,0.015113533796856293,0.06482271867907123,0.023771325802935072,0.010284306369653573,0.022620926768780556,0.0,0.0
Q:CG,0.03351578677025313,0.0016518578293245624,0.09362254464904587,0.060991785947242694,0.04636656943275027,0.03125761540021801,0.04054566759425585,0.04259735673562541,0.04949006915330612,0.03382660454202534,0.0417597539140421,0.03758852104732456,0.058116356748758556,0.04458410976974678,0.015412475612478823,0.029946489729150767,0.032398010182565315,0.05965001627050777,0.06777870358345166,0.014196200435144881,0.09411284873972879,0.029081890997812603,0.0117191433103406,0.02978962160489954,0.0,0.0
Q:GC,0.035157506998483905,0.002033606909942845,0.0998485838267149,0.06504672427101947,0.0518481092002092,0.031716142395690185,0.04000727416709819,0.04452235226443919,0.04823456351450609,0.03260574465738866,0.0416210687737676,0.03729493845654814,0.06109042860192185,0.04844027799183978,0.014918491280995013,0.030933266610476736,0.03537418431630245,0.054580113536335045,0.06677079215550724,0.01351363551650778,0.07897340092461887,0.027085632036773236,0.01077582732365465,0.02760733426925897,0.0,0.0
Q:TA,0.03889982553485747,0.0041692074823807355,0.09912333661684902,0.08855909142951966,0.06197169316932904,0.04954981537159461,0.05250901453674436,0.05399088383062708,0.049915995462594905,0.036178189486596346,0.0376070988499625,0.04239165028691673,0.05193805604774666,0.056948065474614284,0.02388190238122979,0.034481958569194164,0.03639355987069707,0.03224704950139486,0.0473355858957113,0.01898537851975481,0.04096677596587565,0.018271680408507684,0.009725965144295636,0.013958220163005622,0.0,0.0
T:AA,0.03792515958766123,0.0032121414470487205,0.10024597700515102,0.08678637772416543,0.0618244485139132,0.04904946428029421,0.05256543622977925,0.053958273739938875,0.049347776166137336,0.03695357647744863,0.03855090939136711,0.04267270280686038,0.052112296489516007,0.057338119813458495,0.023527088896022213,0.03269872308409728,0.035297684909680174,0.032938782905901146,0.04765723994975606,0.019136416216516176,0.0415922803138376,0.019982604094139014,0.009731160592662632,0.014895359364647804,0.0,0.0
