 ,X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
B:AA,0.04395236484890566,0.06090412908460098,0.06107509014821874,0.11366923683131167,0.05960879909600589,0.042913851370350406,0.06804812703906685,0.05059997585549891,0.02952902476460986,0.02588785404124211,0.045868178522341534,0.05092765122743295,0.044975881742933044,0.01696863539328918,0.04882175584510628,0.04915842916775704,0.0443985132386099,0.03835339001542399,0.010589088335131674,0.03794698257471861,0.008135647106371524,0.03625536783997445,0.011412025911098748
B:AG,0.041452589407454096,0.06243652496263974,0.057715759016494624,0.10367262124082827,0.050101560059776416,0.04281139941532827,0.06455235954131512,0.044709338101481505,0.029432778649569166,0.02689517991841529,0.0454167983705502,0.054335567155888144,0.04509696834804988,0.013621298809147513,0.05163992376449288,0.04427775460620695,0.052229551920008825,0.046889232202207386,0.009834773191884921,0.04934967895424935,0.009283954819801031,0.03496995281104405,0.019274434733166375
B:CC,0.03856542617046819,0.06201782599832386,0.05533194409839407,0.0942139119798863,0.04309497383859204,0.04113060318467009,0.061479874968855465,0.04124612108994541,0.029500668191805024,0.027067430745883258,0.044490248929760584,0.05629232825205554,0.0460588008788421,0.011074996036150309,0.053739042786926094,0.039921629028970076,0.0588371197535618,0.055093546852703346,0.009277673333484338,0.06153027248635303,0.010483816167976624,0.03448039593195769,0.025071349294434754
B:GA,0.04227283144036863,0.06208711940491172,0.05769367465648846,0.10436734338756995,0.051183119527741655,0.04327025599236635,0.06522894987799462,0.04566543969419896,0.02923523012699819,0.026739962775706286,0.04587527416380395,0.054124214044806766,0.04514113784873607,0.014066302005824186,0.05032615327924646,0.044534949380988315,0.050794158071888494,0.04609193251859935,0.009991873890052424,0.04945326463197366,0.009132064356061231,0.03500994296937952,0.017714805954294754
N:AA,0.06616564012741849,0.0715101818087354,0.08457052320098402,0.0640532573235383,0.0767057817428935,0.07027701314541046,0.061416892295824574,0.05088166327484747,0.052241282001165845,0.043151603310871416,0.04122867772821383,0.04297525728504934,0.04150385464966384,0.041948456389985365,0.03097413513624636,0.024513100403212387,0.023815350817983395,0.020760621363575784,0.031457067648825825,0.013659716720341886,0.020048145933114315,0.016029649602959696,0.010112128089138507
N:AG,0.06307928786252658,0.07526415424241792,0.08425153951067507,0.06124316909642226,0.06932744431108823,0.06686804919437994,0.05913006350338195,0.05090438339535295,0.052005159676432426,0.04357112355822364,0.04333922160043128,0.04425939998956088,0.04180304125351234,0.03819964557728309,0.03109609116725609,0.02634259202172591,0.026690091790734866,0.024460156606522367,0.030286445647987256,0.016906253108117844,0.022691716827208584,0.015430050969805554,0.012850919088952976
N:CC,0.06134108736829947,0.0777952388319369,0.084059378440755,0.05846012199818393,0.06369803413862267,0.06348563654891161,0.05748975784020934,0.051280323502970945,0.05140175473039258,0.044224682451580254,0.0451928933811145,0.04456365006599917,0.041607406140802446,0.03536893639260653,0.031143524135308392,0.027657622202499375,0.029604677511820894,0.027700204255129222,0.028477863514871,0.01995627197144952,0.024865608689633834,0.015140302133535748,0.015485023753366682
N:GA,0.06394230857040525,0.07426080035296233,0.08373012557004117,0.06114890595496586,0.07006836734182498,0.06712681382889617,0.05911019751805716,0.05091232540966157,0.05196473973802966,0.0434195199897982,0.043122307461699656,0.044278853920104645,0.04167329125477579,0.03863026316091349,0.031042243828229146,0.026056412969315396,0.026692771562488726,0.024286913261245175,0.030737994269358658,0.0166278318618051,0.02258900812508811,0.01582561533048706,0.012752388719846703
Q:AC,0.05333566245256936,0.0790223840669628,0.08237197741597153,0.06790348200830916,0.06463733523248226,0.06220589573718107,0.058249307496866264,0.05462897546986463,0.04972039954632934,0.041842057110987096,0.04589727207001282,0.04607103744720766,0.04573899983103838,0.03358129884455074,0.03108094312155286,0.029178396634789678,0.02836327521213284,0.028559970706061432,0.027614191845250317,0.02043796005843111,0.022081831694195145,0.013866396130299892,0.01361094986695361
Q:AT,0.056360143137279474,0.07640838840322849,0.08473409865145028,0.07083045626801814,0.07215145632253378,0.06534988559392392,0.06111294614951286,0.05487653333256219,0.05124273780874923,0.04122422694812443,0.044565661404783304,0.045187044143348204,0.045700881671689994,0.03683366997719733,0.031087683668511664,0.02751989508292892,0.02435463234559357,0.023518293065843285,0.02837499530976323,0.014782671296818425,0.019493909261206758,0.013799872568364374,0.010489917588568182
Q:CA,0.05298941041657668,0.07937018226388981,0.08225804452682978,0.06730497488681099,0.06353753837506558,0.061644139058612296,0.05761066255648656,0.0545457603219916,0.049608372132004426,0.04198576420141533,0.04628190863911243,0.04649824983852504,0.045523262518550704,0.03298997799062664,0.031023523792498682,0.029417198426822454,0.02911236798266497,0.02921189798751016,0.02737392002348161,0.0209371758025575,0.022754375193229558,0.013829593673709254,0.014191699391027946
Q:CG,0.04533637324095246,0.08140951254630263,0.07515463001630686,0.057352778267535084,0.0515306225974662,0.053693605664598534,0.05179659966146878,0.05562296764046262,0.0458673333825071,0.04304057301879306,0.047607769381981725,0.0456930087243219,0.04510532280429764,0.028875957620256593,0.030706675009754776,0.031054398890464338,0.03944724344935509,0.04278693509693493,0.02591267835887216,0.03789556204929569,0.026511229579062504,0.015845480761769278,0.021752742237240025
Q:GC,0.049112651095743275,0.08201603708858975,0.0805185509036773,0.06426354560398269,0.05782057242878109,0.05841418446672133,0.05505998420985027,0.054434278043015136,0.048117870530780385,0.04264302443364837,0.0472104474360538,0.04724578331449198,0.045361219299449515,0.03038934050663792,0.03109997889467448,0.030679214355450013,0.03293629662224977,0.034356158669719215,0.026093852594349928,0.026389288347615343,0.024781865623951863,0.013789529467491223,0.017266326063075377
Q:TA,0.05615743911416576,0.07674365482383387,0.08531839434613521,0.07194535367616452,0.073537975008719,0.06600966396685377,0.06196931955637422,0.054827152540188,0.05131640766111772,0.04112963256830479,0.044059658677238475,0.04489837801160071,0.04602612272717379,0.03738455119343676,0.03128693556134967,0.027376627526888034,0.02323422918494199,0.022741291032271377,0.02831898261547264,0.013838992926426092,0.0186041074326772,0.013515151626358449,0.009759978222307937
T:AA,0.03975332788601006,0.08485934533891708,0.08395638284704666,0.07913331626632465,0.061082252182744615,0.05728380316470356,0.05943865179723175,0.061119245191168146,0.048463142787104944,0.039167213771448287,0.050606726188356994,0.04754296036011786,0.05212182123689977,0.027761552039036713,0.031531248793151216,0.033216909184418934,0.026307858000015776,0.03055650776699203,0.02451071581164923,0.018987288074211385,0.020059079774837407,0.010367469330368572,0.01217318220724437
T:AG,0.0374933426056646,0.08810601686952972,0.07937963548573698,0.07514409834044912,0.05409802573697244,0.05405830445372007,0.055212926047277705,0.05902005300628952,0.045877728419116436,0.0401817922521429,0.04998056840756953,0.05048722301764951,0.05128970476599942,0.024801154525742143,0.031119622818287694,0.03389684913345413,0.03207964321546903,0.0372050580609683,0.02323230647330941,0.027092345696165296,0.023057377638992026,0.010877104586150214,0.01630911844334379
T:CC,0.035118447278848816,0.0896789071672251,0.07574085931659937,0.07065040947509969,0.048420849084356045,0.0509108979805678,0.05145224238129512,0.05741012023474371,0.04356246073094161,0.0411895165288568,0.049949962753057214,0.051842601169481625,0.050391827010356584,0.022809875939051656,0.030778070657206256,0.03436434306826421,0.03730612773556418,0.04334319837399838,0.02200772349592702,0.035911772734978954,0.025546933354659334,0.01150400618689403,0.020108847342026503
