 ,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
B:AA,0.04395236484890566,0.0,0.06090412908460098,0.06107509014821874,0.11366923683131167,0.05960879909600589,0.042913851370350406,0.06804812703906685,0.05059997585549891,0.02952902476460986,0.02588785404124211,0.045868178522341534,0.05092765122743295,0.044975881742933044,0.01696863539328918,0.04882175584510628,0.04915842916775704,0.0443985132386099,0.03835339001542399,0.010589088335131674,0.03794698257471861,0.008135647106371524,0.03625536783997445,0.011412025911098748
B:AG,0.041452589407454096,0.0,0.06243652496263974,0.057715759016494624,0.10367262124082827,0.050101560059776416,0.04281139941532827,0.06455235954131512,0.044709338101481505,0.029432778649569166,0.02689517991841529,0.0454167983705502,0.054335567155888144,0.04509696834804988,0.013621298809147513,0.05163992376449288,0.04427775460620695,0.052229551920008825,0.046889232202207386,0.009834773191884921,0.04934967895424935,0.009283954819801031,0.03496995281104405,0.019274434733166375
B:CC,0.03856542617046819,0.0,0.06201782599832386,0.05533194409839407,0.0942139119798863,0.04309497383859204,0.04113060318467009,0.061479874968855465,0.04124612108994541,0.029500668191805024,0.027067430745883258,0.044490248929760584,0.05629232825205554,0.0460588008788421,0.011074996036150309,0.053739042786926094,0.039921629028970076,0.0588371197535618,0.055093546852703346,0.009277673333484338,0.06153027248635303,0.010483816167976624,0.03448039593195769,0.025071349294434754
B:GA,0.04227283144036863,0.0,0.06208711940491172,0.05769367465648846,0.10436734338756995,0.051183119527741655,0.04327025599236635,0.06522894987799462,0.04566543969419896,0.02923523012699819,0.026739962775706286,0.04587527416380395,0.054124214044806766,0.04514113784873607,0.014066302005824186,0.05032615327924646,0.044534949380988315,0.050794158071888494,0.04609193251859935,0.009991873890052424,0.04945326463197366,0.009132064356061231,0.03500994296937952,0.017714805954294754
N:AA,0.06532010914302686,0.012779004068627683,0.07059635290445326,0.08348979614091268,0.06323472048759195,0.0757255582459138,0.06937894290849425,0.06063204557929376,0.050231446292839654,0.05157369044592262,0.04260016879659398,0.04070181628778085,0.04242607629735337,0.04097347672223206,0.04141239689510509,0.030578316537318045,0.024199847393425056,0.02351101435298459,0.02049532129870341,0.031055077653354385,0.013485159144796335,0.019791950594666607,0.015824806645464796,0.009982905163144923
N:AG,0.062304542974487585,0.012282080446555549,0.07433975384527058,0.0832167553246588,0.060490975566777995,0.06847595906290535,0.06604677043487034,0.05840382330662347,0.05027917166340892,0.051366428121650515,0.043035979513534724,0.04280692579424369,0.04371580247837281,0.041289612937926025,0.03773047445727298,0.030714166473966426,0.02601905018734428,0.026362281936235108,0.024159734995345714,0.029914465086098446,0.01669860914739411,0.022413015335666347,0.01524053784249995,0.01269308306689028
N:CC,0.06060102064273477,0.012064780024541318,0.07685665638847293,0.08304522053086763,0.057754813486067993,0.06292953136874448,0.06271969630923101,0.05679615655820307,0.05066163768032028,0.05078160386669497,0.043691121386146746,0.0446476510637988,0.04402599943086225,0.04110542193832191,0.03494221795532773,0.030767784367426904,0.02732393907462435,0.02924750358994329,0.027366007384156225,0.02813428435599517,0.01971550394000406,0.024565610590617078,0.014957637718789546,0.015298200348107515
N:GA,0.06313679752895879,0.012597465738346449,0.07332530246481371,0.08267533818190513,0.06037858470726081,0.06918568348489447,0.06628118609156229,0.058365558830036544,0.05027095913465381,0.05131011570957774,0.04287254407435127,0.042579075670892454,0.043721052574912884,0.04114831339598962,0.03814361974428057,0.03065119022516163,0.025728168199670238,0.026356510287268767,0.023980959703546446,0.03035077343968492,0.01641836331962302,0.02230444386916908,0.015626252683572997,0.012591740939866357
Q:AC,0.05289882133054125,0.008190413354602724,0.0783751580771882,0.08169731687209872,0.06734732442244429,0.0641079287387882,0.06169640373800024,0.05777222159084757,0.054181541579627984,0.0493131689218889,0.04149935336764122,0.045521354439910754,0.04569369660683965,0.04536437851599607,0.03330625412602942,0.030826377349936446,0.0289394135053262,0.028130968264055114,0.028326052740583446,0.027388020199584417,0.0202705647174277,0.02190097236499292,0.013752824614254072,0.013499470561394486
Q:AT,0.055870652822488064,0.008685043854468716,0.07574477819909717,0.08399817928869355,0.07021529064909837,0.07152481776020879,0.06478231897165618,0.06058217753212856,0.05439992823398767,0.0507976923836572,0.040866192729213394,0.044178606681079355,0.04479459268330941,0.04530396751018348,0.03651376793812434,0.03081768577251679,0.027280883587263303,0.024143111295612626,0.023314035659184187,0.02812855723112759,0.01465428314831936,0.019324603804378143,0.013680020069922048,0.010398812194281704
Q:CA,0.05255366088349334,0.008223332353722764,0.0787174948761583,0.08158160928791833,0.06675150370925778,0.06301504808007,0.06113721881547422,0.0571369109311664,0.05409721240637736,0.049200426000435796,0.04164050130826206,0.04590131712240838,0.046115879276236414,0.04514890960103489,0.03271869043726772,0.03076840704556934,0.029175291027243283,0.02887296730513964,0.02897167884167582,0.027148815181304294,0.020765002447384745,0.02256725840351433,0.013715868328613403,0.0140749963302714
Q:CG,0.04507458315495195,0.005774394096527243,0.0809394219376541,0.07472065756441401,0.057021600723287595,0.05123306447454901,0.05338355762502762,0.05149750568216341,0.055301778704488214,0.045602477323399705,0.04279203978804219,0.04733286335951358,0.04542915928449161,0.04484486689457455,0.028709216461042613,0.03052936256685447,0.030875078552840038,0.03921945951965686,0.042539866471502694,0.025763048341931476,0.03767673813951366,0.02635814329148949,0.015753982711201882,0.021627133330882026
Q:GC,0.04876135105772405,0.007152943899004398,0.0814293809764764,0.07994260622623417,0.06380387206752629,0.057406985117989695,0.057996351082324774,0.05466614323171714,0.05404491270599064,0.04777368610233416,0.04233800127219061,0.046872753754096816,0.0469078368769789,0.045036753042610116,0.030171967258866197,0.030877522490380654,0.030459767656299947,0.03270070514026985,0.03411041099416942,0.025907204730633654,0.026200527248530198,0.02460460232943107,0.01369089373681659,0.01714282100140428
Q:TA,0.05568591467624127,0.008396473296545888,0.07609927877542622,0.08460202072630373,0.07134126643521206,0.07292051536527625,0.06545541558604212,0.061448995819514005,0.05436679781795866,0.05088553081451648,0.04078428870674828,0.043689712929700114,0.04452138997956808,0.045639665616751535,0.037070652807637716,0.031024235642378044,0.027146760404909036,0.0230391436000248,0.022550344389389933,0.028081203034156475,0.013722794191868268,0.018447898541412655,0.01340167201662896,0.009678028825789458
T:AA,0.039667404083702805,0.002161424134191615,0.08467592830188984,0.08377491749494162,0.078962275606728,0.060950227528706054,0.05715998857004508,0.059310179660733396,0.060987140579548384,0.04835839338066612,0.03908255681033364,0.05049734358902105,0.04744019985818459,0.05200916387456031,0.027701547550456923,0.0314630963910285,0.033145113355244483,0.026250995560815654,0.03049046219364784,0.02445773775894762,0.018946248491524934,0.0200157235957024,0.010345060831947422,0.01214687079743172
T:AG,0.03742652754767605,0.0017820512481717032,0.08794900743219594,0.07923817690724021,0.07501018770620879,0.054001620282684244,0.05396196978479428,0.055114533783499946,0.058914876247162504,0.045795971955923866,0.04011018623910619,0.04989150047325449,0.05039725219885419,0.051198303883602816,0.024756957597363443,0.03106416605560173,0.033836443211146774,0.032022475647236,0.037138756740812455,0.02319090531256074,0.027044065747701546,0.023016288210390895,0.01085772102834597,0.01628005475846525
T:CC,0.03506585419592562,0.0014975913515079982,0.08954460481143876,0.07562743046073105,0.07054460403288929,0.04834833443953464,0.050834654260054596,0.0513751879480892,0.057324143335191126,0.04349722196650054,0.04112783146513039,0.049875158120830085,0.051764962138330525,0.05031636064603919,0.02277571606611636,0.030731977684773922,0.03431287932528492,0.03725025840130915,0.043278287974966786,0.021974764919553143,0.03585799157471373,0.025508674488209846,0.011486777886720844,0.02007873250615829
T:GA,0.038264583399097656,0.0018402049258428406,0.0869730086797946,0.07966631144233427,0.0755272164310438,0.05507217002123471,0.05446156671528604,0.05576469655367118,0.05947115421157214,0.04642270974287241,0.03983121788490033,0.04993847883413744,0.049862375963928035,0.05133313206313073,0.02524100897040157,0.030795628323551826,0.03346767856870181,0.031286989648051274,0.035925772517058266,0.02346375975705696,0.026336317852258404,0.022607852400147167,0.01093692877054834,0.015509236323378172
U:AA,0.039316984351924586,0.002017253230269614,0.08461367961847094,0.08380840211921092,0.07965308622081266,0.062034446308951975,0.05743224986849341,0.060113420617886555,0.06113003494379708,0.048842301326226245,0.03849543142319668,0.04927694717044346,0.0480247422528862,0.052359762893243345,0.02790355818014148,0.03078101848412525,0.03264944903733647,0.026042412194151772,0.030305993449402147,0.02460769933566622,0.01871313441783445,0.019953076511806455,0.010281983815847941,0.011642932227874162
U:AG,0.03697118525890719,0.0017257882138931094,0.08808615904342897,0.07948474952801844,0.07521776626556119,0.05418660544940994,0.054132858358900665,0.05548998695197664,0.05882805977323992,0.04582422199805409,0.039962027418516295,0.04967737013285011,0.05041598209973822,0.05116534348472819,0.025032774370191534,0.030910691283897805,0.033955222303148895,0.031872292533988746,0.03714302454828191,0.023268216044856307,0.026743667128231695,0.02302024571958579,0.010736607311050764,0.016149154779543585
U:CC,0.03576503333214733,0.0015074378775004062,0.0892095329964221,0.0753983618071853,0.0704308779742234,0.048241745323179624,0.05101350314053367,0.051302151407086015,0.05742724537624501,0.0434331147963893,0.041096683607717815,0.049328941921936056,0.051769065844276374,0.05023404768052459,0.02257161484175963,0.030616357684922962,0.034094612724401244,0.037405511805924385,0.043579747445337894,0.022050621710698493,0.036425482142640825,0.02556258260276685,0.011474039065113628,0.020061686891067087
U:GA,0.03749578792594458,0.0017942309021390923,0.08746355745761186,0.07989396214044693,0.07557028935189758,0.05516554343536517,0.05444726046564795,0.056125504660368364,0.0592459574660412,0.04639509888920476,0.039716934759418045,0.04981085612567103,0.050076214191651605,0.05137624689003189,0.025486339016002658,0.030756524893504972,0.03362086695973898,0.03115252397598163,0.036052234501387136,0.02350567812884576,0.026058106623061433,0.02256853714295459,0.01078723516790171,0.015434508929181075
